timestamp,user_id,event_name,platform,channel,trial_days,plan,cancel_reason,revenue
2024-01-01 09:00:00,user001,app_open,iOS,organic,,,
2024-01-01 09:05:00,user001,signup,iOS,organic,,,
2024-01-01 09:10:00,user001,onboarding_complete,iOS,organic,,,
2024-01-01 09:15:00,user001,start_trial,iOS,organic,7,,
2024-01-08 10:00:00,user001,subscribe,iOS,organic,,monthly,19.99
2024-02-08 10:00:00,user001,renew,iOS,organic,,monthly,19.99
2024-01-02 08:00:00,user002,app_open,Android,paid,,,
2024-01-02 08:10:00,user002,signup,Android,paid,,,
2024-01-02 08:20:00,user002,onboarding_complete,Android,paid,,,
2024-01-02 08:30:00,user002,start_trial,Android,paid,14,,
2024-01-16 09:00:00,user002,subscribe,Android,paid,,yearly,99.99
2024-01-03 10:00:00,user003,app_open,iOS,organic,,,
2024-01-03 10:05:00,user003,signup,iOS,organic,,,
2024-01-03 10:10:00,user003,start_trial,iOS,organic,7,,
2024-01-04 11:00:00,user004,app_open,Android,referral,,,
2024-01-04 11:05:00,user004,signup,Android,referral,,,
2024-01-04 11:15:00,user004,onboarding_complete,Android,referral,,,
2024-01-04 11:20:00,user004,start_trial,Android,referral,7,,
2024-01-11 12:00:00,user004,subscribe,Android,referral,,monthly,19.99
2024-01-25 12:00:00,user004,cancel,Android,referral,,monthly,too_expensive
2024-01-05 09:00:00,user005,app_open,iOS,paid,,,
2024-01-05 09:10:00,user005,signup,iOS,paid,,,
2024-01-05 09:20:00,user005,onboarding_complete,iOS,paid,,,
2024-01-05 09:30:00,user005,start_trial,iOS,paid,14,,
2024-01-19 10:00:00,user005,subscribe,iOS,paid,,yearly,99.99
2024-07-19 10:00:00,user005,renew,iOS,paid,,yearly,99.99
2024-01-06 12:00:00,user006,app_open,Android,organic,,,
2024-01-06 12:10:00,user006,signup,Android,organic,,,
2024-01-06 12:20:00,user006,start_trial,Android,organic,7,,
2024-01-13 13:00:00,user006,subscribe,Android,organic,,monthly,19.99
2024-02-13 13:00:00,user006,payment_failed,Android,organic,,monthly,
2024-01-07 08:00:00,user007,app_open,iOS,referral,,,
2024-01-07 08:15:00,user007,signup,iOS,referral,,,
2024-01-07 08:30:00,user007,onboarding_complete,iOS,referral,,,
2024-01-07 08:45:00,user007,start_trial,iOS,referral,7,,
2024-01-14 09:00:00,user007,subscribe,iOS,referral,,monthly,19.99
2024-02-14 09:00:00,user007,renew,iOS,referral,,monthly,19.99
2024-03-14 09:00:00,user007,renew,iOS,referral,,monthly,19.99
2024-01-08 10:00:00,user008,app_open,Android,paid,,,
2024-01-08 10:10:00,user008,signup,Android,paid,,,
2024-01-08 10:20:00,user008,start_trial,Android,paid,14,,
2024-01-22 11:00:00,user008,subscribe,Android,paid,,yearly,99.99
2024-02-22 11:00:00,user008,cancel,Android,paid,,yearly,missing_features
2024-01-09 11:00:00,user009,app_open,iOS,organic,,,
2024-01-09 11:10:00,user009,signup,iOS,organic,,,
2024-01-09 11:20:00,user009,onboarding_complete,iOS,organic,,,
2024-01-09 11:30:00,user009,start_trial,iOS,organic,7,,
2024-01-16 12:00:00,user009,subscribe,iOS,organic,,monthly,19.99
2024-02-16 12:00:00,user009,renew,iOS,organic,,monthly,19.99
2024-03-16 12:00:00,user009,cancel,iOS,organic,,monthly,switched_to_competitor
2024-01-10 09:00:00,user010,app_open,Android,referral,,,
2024-01-10 09:15:00,user010,signup,Android,referral,,,
2024-01-10 09:30:00,user010,onboarding_complete,Android,referral,,,
2024-01-10 09:45:00,user010,start_trial,Android,referral,7,,
2024-01-17 10:00:00,user010,subscribe,Android,referral,,monthly,19.99
2024-02-17 10:00:00,user010,renew,Android,referral,,monthly,19.99
2024-01-11 08:00:00,user011,app_open,iOS,organic,,,
2024-01-11 08:10:00,user011,signup,iOS,organic,,,
2024-01-11 08:20:00,user011,start_trial,iOS,organic,7,,
2024-01-12 09:00:00,user012,app_open,Android,paid,,,
2024-01-12 09:10:00,user012,signup,Android,paid,,,
2024-01-12 09:20:00,user012,onboarding_complete,Android,paid,,,
2024-01-12 09:30:00,user012,start_trial,Android,paid,14,,
2024-01-26 10:00:00,user012,subscribe,Android,paid,,yearly,99.99
2024-01-13 10:00:00,user013,app_open,iOS,referral,,,
2024-01-13 10:10:00,user013,signup,iOS,referral,,,
2024-01-13 10:20:00,user013,start_trial,iOS,referral,7,,
2024-01-20 11:00:00,user013,subscribe,iOS,referral,,monthly,19.99
2024-02-20 11:00:00,user013,renew,iOS,referral,,monthly,19.99
2024-01-14 11:00:00,user014,app_open,Android,organic,,,
2024-01-14 11:10:00,user014,signup,Android,organic,,,
2024-01-14 11:20:00,user014,onboarding_complete,Android,organic,,,
2024-01-14 11:30:00,user014,start_trial,Android,organic,7,,
2024-01-21 12:00:00,user014,subscribe,Android,organic,,monthly,19.99
2024-02-21 12:00:00,user014,cancel,Android,organic,,monthly,too_expensive
2024-01-15 12:00:00,user015,app_open,iOS,paid,,,
2024-01-15 12:10:00,user015,signup,iOS,paid,,,
2024-01-15 12:20:00,user015,start_trial,iOS,paid,14,,
2024-01-29 13:00:00,user015,subscribe,iOS,paid,,yearly,99.99
2024-07-29 13:00:00,user015,renew,iOS,paid,,yearly,99.99
